id,song,album,play,share,comments
134,你是唯一,《步步》 自选作品辑 the Best of 1999-2013,4522273,7355,1814
135,Do You Ever Shine?,《Do You Ever Shine?》,4554920,7028,2313
136,什么歌,《什么歌》2018,801777,16096,3963
137,由我们主宰,《由我们主宰》,793869,569,319
138,年轻就要对味,"《	离开地球表面 Jump!》",681346,1897,367
139,花,《Final Home 当我们混在一起》,844270,1784,494
140,金色大街 (Demo),《那些你不要的》,460785,1474,610
141,不见不散(Demo),《那些你不要的》,848207,3484,3484
142,八月爱人(Demo),《那些你不要的》,252397,832,489
143,虚弱 (Demo),《那些你不要的》,248893,786,386
144,秒杀,《猩人类》,436899,347,304
145,证明 ,《experience》,989545,4324,887
146,天机,《射手》,1366635,866,391
147,未来就是现在,《未来就是现在》,1891087,1868,935
148,SHERO,《SHERO》,3790852,3731,1230
149,花又开好了,《花又开好了》,6080904,3704,1458
150,谢谢你的温柔,《Play》,6813135,9343,2369
151,超级偶像,《大逃杀》,624448,1290,289
152,疯子,《最后的8/31》,949237,3298,611
153,最终话,《舞娘》,440968,161,153
154,爱转动,《超级4th场》,157400,107,35
155,白蛇,《离家出走》,147526,60,37
156,可以不可以,《离家出走》,1933004,1673,270
157,花火,《夜猫》,4200028,4794,1123
158,走火入魔 ,《我爱上》,8311746,15212,1924
159,搞砸了,《爱&英雄》,283916,377,106
160,为你平定的天下,《风中奇缘 电视原声带》,1892053,1440,545
161,Beautiful,《美丽人生》,385071,442,124
162,纯真,《燕尾蝶》,1209766,3270,797
163,彩虹,《一夜长大》,2857638,4828,990
164,可乐戒指,《亲亲》,3185787,6522,1046
165,燕尾蝶,《燕尾蝶》,5498082,2624,911
166,听不到,《恋爱的力量》,9964398,12492,1813
167,丝路,《丝路》,15981598,12669,2701
168,黑键,《新地球》,174261,332,183
169,黑武士,《JJ陆》,311021,273,273
170,黑暗骑士,《因你而在》,4280265,7783,1685
171,我很好,《脱掉高跟鞋 世界巡回演唱会》,266966,512,80
172,年华,《滚石香港黄金十年 刘若英精选》,331166,179,97
173,候鸟,《候鸟 五月天电影音乐》,419847,350,124
174,我不想念,《在一起》,5554926,6600,1336
175,座右铭,《爱到无可救药》,154754,134,62
176,枫叶红面馆,《爱到无可救药》,188080,424,163
177,朋友变情人再变朋友,《爱到无可救药》,650986,879,211
178,哄我入睡,《爱到无可救药》,2474132,5461,790
179,无可救药,《爱到无可救药》,3340973,5903,822
180,那些女孩教我的事,《那些女孩教我的事》,8238684,12032,1825
181,光芒,《不信邪》,169457,180,70
182,任性,《不信邪》,227182,396,131
183,好聚好散,《滚石香港黄金十年 任贤齐精选》,426201,342,168
184,第一天,《完美的一天》,3237403,3314,977
185,在梅边,《火力全开》,104070,284,69
186,伯牙绝弦,《十八般武艺》,382038,528,183
187,福尔摩斯,《以爱之名》,453971,601,94
188,疼爱,《萧敬腾 同名专辑》,1467415,1365,454
189,寂寞堂口,《释放》,70161,99,60
190,洁癖,《好的情人》,5345130,7690,1647
191,洋葱,《鸽子》,51307875,19367,5398
192,意外的旅客,《一起吃苦的幸福》,192524,212,121
193,La La La,《On Ken's Time》,137994,69,88
194,Happy Birth Day,《Happy.Birth.Day》,5647568,34656,5219
